municipality,region,province,prosperity_index
Berlare,Région Flamande,Flandre Orientale,109.0
Awans,Région Wallonne,Liège,106.0
Lendelede,Région Flamande,Flandre Occidentale,104.0
Bonheiden,Région Flamande,Antwerpen,136.0
Boortmeerbeek,Région Flamande,Brabant Flamand,126.0
Maarkedal,Région Flamande,Flandre Orientale,120.0
Roosdaal,Région Flamande,Brabant Flamand,119.0
Jemeppe-Sur-Sambre,Région Wallonne,Namur,97.0
Dison,Région Wallonne,Liège,66.0
Steenokkerzeel,Région Flamande,Brabant Flamand,117.0
Attert,Région Wallonne,Luxembourg,137.0
Saint-Léger,Région Wallonne,Luxembourg,110.0
Oreye,Région Wallonne,Liège,105.0
Dessel,Région Flamande,Antwerpen,107.0
Lessines,Région Wallonne,Hainaut,92.0
Holsbeek,Région Flamande,Brabant Flamand,130.0
Faimes,Région Wallonne,Liège,115.0
Arendonk,Région Flamande,Antwerpen,99.0
Peer,Région Flamande,Limbourg,100.0
Burg-Reuland,Région Wallonne,Liège,98.0
Cerfontaine,Région Wallonne,Namur,95.0
Ingelmunster,Région Flamande,Flandre Occidentale,100.0
Braine-Le-Château,Région Wallonne,Brabant Wallon,116.0
Diest,Région Flamande,Brabant Flamand,111.0
Tinlot,Région Wallonne,Liège,112.0
Lubbeek,Région Flamande,Brabant Flamand,131.0
Vaux-Sur-Sûre,Région Wallonne,Luxembourg,94.0
Landen,Région Flamande,Brabant Flamand,110.0
Bierbeek,Région Flamande,Brabant Flamand,134.0
Dentergem,Région Flamande,Flandre Occidentale,103.0
Frameries,Région Wallonne,Hainaut,84.0
Hamoir,Région Wallonne,Liège,96.0
Nassogne,Région Wallonne,Luxembourg,94.0
Herk-De-Stad,Région Flamande,Limbourg,111.0
Tervuren,Région Flamande,Brabant Flamand,129.0
Lo-Reninge,Région Flamande,Flandre Occidentale,94.0
Pittem,Région Flamande,Flandre Occidentale,99.0
Sombreffe,Région Wallonne,Namur,104.0
Waasmunster,Région Flamande,Flandre Orientale,125.0
Zutendaal,Région Flamande,Limbourg,108.0
Opwijk,Région Flamande,Brabant Flamand,116.0
Zulte,Région Flamande,Flandre Orientale,107.0
Neupré,Région Wallonne,Liège,129.0
Villers-La-Ville,Région Wallonne,Brabant Wallon,114.0
Péruwelz,Région Wallonne,Hainaut,88.0
Koekelare,Région Flamande,Flandre Occidentale,98.0
Lint,Région Flamande,Antwerpen,128.0
Gouvy,Région Wallonne,Luxembourg,88.0
Lievegem,Région Flamande,Flandre Orientale,113.0
Vorselaar,Région Flamande,Antwerpen,108.0
Diepenbeek,Région Flamande,Limbourg,108.0
Pelt,Région Flamande,Limbourg,99.0
Gerpinnes,Région Wallonne,Hainaut,115.0
Tremelo,Région Flamande,Brabant Flamand,122.0
Begijnendijk,Région Flamande,Brabant Flamand,117.0
Gesves,Région Wallonne,Namur,112.0
Esneux,Région Wallonne,Liège,120.0
Retie,Région Flamande,Antwerpen,110.0
Hamois,Région Wallonne,Namur,100.0
Ranst,Région Flamande,Antwerpen,120.0
Heers,Région Flamande,Limbourg,101.0
Boutersem,Région Flamande,Brabant Flamand,127.0
Ravels,Région Flamande,Antwerpen,95.0
Alveringem,Région Flamande,Flandre Occidentale,96.0
Hove,Région Flamande,Antwerpen,141.0
Horebeke,Région Flamande,Flandre Orientale,125.0
Merksplas,Région Flamande,Antwerpen,104.0
Boechout,Région Flamande,Antwerpen,124.0
Silly,Région Wallonne,Hainaut,103.0
Ciney,Région Wallonne,Namur,96.0
Perwez,Région Wallonne,Brabant Wallon,111.0
Wellin,Région Wallonne,Luxembourg,94.0
Wichelen,Région Flamande,Flandre Orientale,112.0
Lierneux,Région Wallonne,Liège,96.0
Wijnegem,Région Flamande,Antwerpen,110.0
Hamme,Région Flamande,Flandre Orientale,102.0
Sint-Katelijne-Waver,Région Flamande,Antwerpen,116.0
Assesse,Région Wallonne,Namur,109.0
Rumes,Région Wallonne,Hainaut,91.0
Glabbeek,Région Flamande,Brabant Flamand,120.0
Saint-Georges-Sur-Meuse,Région Wallonne,Liège,98.0
Stavelot,Région Wallonne,Liège,96.0
Lichtervelde,Région Flamande,Flandre Occidentale,104.0
Celles,Région Wallonne,Hainaut,95.0
Villers-Le-Bouillet,Région Wallonne,Liège,109.0
Kapelle-Op-Den-Bos,Région Flamande,Brabant Flamand,121.0
Borsbeek,Région Flamande,Antwerpen,87.0
Florennes,Région Wallonne,Namur,92.0
Olne,Région Wallonne,Liège,101.0
Aiseau-Presles,Région Wallonne,Hainaut,87.0
Leuze-En-Hainaut,Région Wallonne,Hainaut,95.0
Héron,Région Wallonne,Liège,110.0
Affligem,Région Flamande,Brabant Flamand,116.0
Wortegem-Petegem,Région Flamande,Flandre Orientale,118.0
Zwevegem,Région Flamande,Flandre Occidentale,106.0
Ternat,Région Flamande,Brabant Flamand,114.0
Wellen,Région Flamande,Limbourg,110.0
Haacht,Région Flamande,Brabant Flamand,125.0
Fernelmont,Région Wallonne,Namur,112.0
Heuvelland,Région Flamande,Flandre Occidentale,94.0
Zonnebeke,Région Flamande,Flandre Occidentale,99.0
Comblain-Au-Pont,Région Wallonne,Liège,91.0
Bullange,Région Wallonne,Liège,98.0
Brunehaut,Région Wallonne,Hainaut,96.0
Messancy,Région Wallonne,Luxembourg,119.0
La Hulpe,Région Wallonne,Brabant Wallon,124.0
Waimes,Région Wallonne,Liège,94.0
Wemmel,Région Flamande,Brabant Flamand,108.0
Rijkevorsel,Région Flamande,Antwerpen,101.0
Erquelinnes,Région Wallonne,Hainaut,83.0
Fontaine-L'Évêque,Région Wallonne,Hainaut,86.0
Étalle,Région Wallonne,Luxembourg,116.0
Hannut,Région Wallonne,Liège,111.0
Quaregnon,Région Wallonne,Hainaut,76.0
Chièvres,Région Wallonne,Hainaut,97.0
Anthisnes,Région Wallonne,Liège,110.0
Daverdisse,Région Wallonne,Luxembourg,86.0
Veurne,Région Flamande,Flandre Occidentale,101.0
Vleteren,Région Flamande,Flandre Occidentale,90.0
Wezembeek-Oppem,Région Flamande,Brabant Flamand,123.0
Riemst,Région Flamande,Limbourg,102.0
Braives,Région Wallonne,Liège,107.0
Hotton,Région Wallonne,Luxembourg,89.0
Ohey,Région Wallonne,Namur,100.0
Hemiksem,Région Flamande,Antwerpen,103.0
Lennik,Région Flamande,Brabant Flamand,123.0
Lincent,Région Wallonne,Liège,106.0
Ouffet,Région Wallonne,Liège,103.0
Ichtegem,Région Flamande,Flandre Occidentale,99.0
Meix-Devant-Virton,Région Wallonne,Luxembourg,95.0
Maaseik,Région Flamande,Limbourg,100.0
Tellin,Région Wallonne,Luxembourg,97.0
Niel,Région Flamande,Antwerpen,102.0
Drogenbos,Région Flamande,Brabant Flamand,90.0
Écaussinnes,Région Wallonne,Hainaut,97.0
Staden,Région Flamande,Flandre Occidentale,95.0
Huldenberg,Région Flamande,Brabant Flamand,127.0
Lanaken,Région Flamande,Limbourg,102.0
Ramillies,Région Wallonne,Brabant Wallon,107.0
Lens,Région Wallonne,Hainaut,98.0
Bree,Région Flamande,Limbourg,99.0
Viroinval,Région Wallonne,Namur,86.0
Kaprijke,Région Flamande,Flandre Orientale,114.0
Tielt-Winge,Région Flamande,Brabant Flamand,115.0
Seneffe,Région Wallonne,Hainaut,109.0
Thimister-Clermont,Région Wallonne,Liège,107.0
Manhay,Région Wallonne,Luxembourg,96.0
Chapelle-Lez-Herlaimont,Région Wallonne,Hainaut,88.0
Pepingen,Région Flamande,Brabant Flamand,122.0
Tintigny,Région Wallonne,Luxembourg,102.0
Herve,Région Wallonne,Liège,102.0
Dour,Région Wallonne,Hainaut,83.0
Éghezée,Région Wallonne,Namur,110.0
Hoeilaart,Région Flamande,Brabant Flamand,126.0
Honnelles,Région Wallonne,Hainaut,101.0
Fourons,Région Flamande,Limbourg,101.0
Vielsalm,Région Wallonne,Luxembourg,89.0
Moorslede,Région Flamande,Flandre Occidentale,99.0
Hélécine,Région Wallonne,Brabant Wallon,104.0
Chiny,Région Wallonne,Luxembourg,94.0
Binche,Région Wallonne,Hainaut,90.0
Nieuwerkerken,Région Flamande,Limbourg,104.0
Beyne-Heusay,Région Wallonne,Liège,89.0
Ferrières,Région Wallonne,Liège,104.0
Brugelette,Région Wallonne,Hainaut,97.0
Mont-De-L'Enclus,Région Wallonne,Hainaut,100.0
Blegny,Région Wallonne,Liège,107.0
Messines,Région Flamande,Flandre Occidentale,77.0
Farciennes,Région Wallonne,Hainaut,66.0
Bièvre,Région Wallonne,Namur,85.0
Theux,Région Wallonne,Liège,109.0
Sint-Laureins,Région Flamande,Flandre Orientale,106.0
Les Bons Villers,Région Wallonne,Hainaut,112.0
Doische,Région Wallonne,Namur,88.0
Eupen,Région Wallonne,Liège,96.0
Jalhay,Région Wallonne,Liège,113.0
Manage,Région Wallonne,Hainaut,82.0
Froidchapelle,Région Wallonne,Hainaut,88.0
Chimay,Région Wallonne,Hainaut,85.0
Welkenraedt,Région Wallonne,Liège,96.0
Rouvroy,Région Wallonne,Luxembourg,93.0
Kampenhout,Région Flamande,Brabant Flamand,127.0
Flobecq,Région Wallonne,Hainaut,104.0
Butgenbach,Région Wallonne,Liège,94.0
Walhain,Région Wallonne,Brabant Wallon,119.0
Hamont-Achel,Région Flamande,Limbourg,94.0
Langemark-Poelkapelle,Région Flamande,Flandre Occidentale,100.0
Vresse-Sur-Semois,Région Wallonne,Namur,87.0
Beaumont,Région Wallonne,Hainaut,94.0
Ellezelles,Région Wallonne,Hainaut,104.0
Oudsbergen,Région Flamande,Limbourg,102.0
Trois-Ponts,Région Wallonne,Liège,94.0
Houyet,Région Wallonne,Namur,92.0
Fauvillers,Région Wallonne,Luxembourg,99.0
Fexhe-Le-Haut-Clocher,Région Wallonne,Liège,109.0
Sivry-Rance,Région Wallonne,Hainaut,91.0
Momignies,Région Wallonne,Hainaut,77.0
Gedinne,Région Wallonne,Namur,88.0
Incourt,Région Wallonne,Brabant Wallon,113.0
Herbeumont,Région Wallonne,Luxembourg,92.0
Hensies,Région Wallonne,Hainaut,88.0
Couvin,Région Wallonne,Namur,84.0
Philippeville,Région Wallonne,Namur,91.0
As,Région Flamande,Limbourg,107.0
Estinnes,Région Wallonne,Hainaut,99.0
La Bruyère,Région Wallonne,Namur,119.0
Plombières,Région Wallonne,Liège,91.0
Baarle-Hertog,Région Flamande,Antwerpen,91.0
Montigny-Le-Tilleul,Région Wallonne,Hainaut,113.0
Lobbes,Région Wallonne,Hainaut,102.0
Donceel,Région Wallonne,Liège,120.0
Lontzen,Région Wallonne,Liège,96.0
Quévy,Région Wallonne,Hainaut,103.0
Zuienkerke,Région Flamande,Flandre Occidentale,115.0
Berloz,Région Wallonne,Liège,107.0
Martelange,Région Wallonne,Luxembourg,94.0
Tenneville,Région Wallonne,Luxembourg,98.0
Raeren,Région Wallonne,Liège,104.0
Wasseiges,Région Wallonne,Liège,103.0
Onhaye,Région Wallonne,Namur,96.0
Limbourg,Région Wallonne,Liège,96.0
Stoumont,Région Wallonne,Liège,105.0
Floreffe,Région Wallonne,Namur,107.0
Amblève,Région Wallonne,Liège,96.0
Merbes-Le-Château,Région Wallonne,Hainaut,90.0
